City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,karauli,26.5,77.0167,26.4,83,83,4.16,IN,1726240688
83,saipan,15.1355,145.701,27.39,89,40,1.54,MP,1726240689
84,nelson bay,-32.7167,152.15,12.22,97,0,2.68,AU,1726240690
85,seeb,23.6703,58.1891,31.05,66,0,2.57,OM,1726240690
86,klyuchi,52.2667,79.1667,10.2,76,97,3.41,RU,1726240692
87,sur,22.5667,59.5289,31.15,55,5,0.29,OM,1726240693
88,puerto ayacucho,5.6639,-67.6236,28.91,74,100,1.43,VE,1726240694
89,souillac,-20.5167,57.5167,22.21,73,75,7.2,MU,1726240695
90,amga,60.8953,131.9608,-0.4,91,98,1.75,RU,1726240696
91,kalevala,65.2,31.1667,19.92,79,100,2.24,RU,1726240697
92,salalah,17.0151,54.0924,27.05,94,75,4.12,OM,1726240698
93,port elizabeth,-33.918,25.5701,18.51,86,0,8.75,ZA,1726240699
94,arkhangel'sk,64.5401,40.5433,23.06,60,0,3.0,RU,1726240493
95,lebu,-37.6167,-73.65,11.75,63,33,4.5,CL,1726240702
96,vorkuta,67.5,64.0,15.24,82,58,2.03,RU,1726240703
97,murun-kuren,49.6342,100.1625,4.33,93,77,0.62,MN,1726240705
98,puerto colombia,10.9878,-74.9547,29.05,66,72,0.56,CO,1726240706
99,portland,45.5234,-122.6762,13.23,94,75,1.54,US,1726240378
100,papao,-17.75,-149.55,24.82,85,94,10.32,PF,1726240708
101,healesville,-37.65,145.5167,8.87,92,72,0.62,AU,1726240709
102,mumbwa,-14.9783,27.0619,32.6,12,2,4.64,ZM,1726240710
103,hamilton,39.1834,-84.5333,25.98,60,20,5.66,US,1726240711
104,antofagasta,-23.65,-70.4,16.33,71,35,5.86,CL,1726240712
105,taltal,-25.4,-70.4833,16.05,68,0,2.45,CL,1726240713
106,vila velha,-20.3297,-40.2925,28.3,63,40,6.17,BR,1726240714
107,polyarnyy,69.1989,33.4478,18.92,68,100,4.78,RU,1726240715
108,sittwe,20.15,92.9,27.49,86,100,8.14,MM,1726240716
109,neryungri,56.6709,124.6491,3.72,97,99,1.36,RU,1726240717
110,ocean shores,46.9737,-124.1563,13.34,94,0,0.45,US,1726240718
111,aykhal,66.0,111.5,-1.6,87,95,8.9,RU,1726240719
112,kirakira,-10.4544,161.9205,26.26,88,84,3.98,SB,1726240720
113,fauske,67.2588,15.3918,13.3,50,14,5.86,NO,1726240721
114,hithadhoo,-0.6,73.0833,28.56,71,91,1.38,MV,1726240722
115,lihue,21.9789,-159.3672,24.64,89,75,3.6,US,1726240723
116,xining,36.6167,101.7667,11.5,89,100,0.88,CN,1726240724
117,thompson,55.7435,-97.8558,18.09,88,75,1.54,CA,1726240725
118,menongue,-14.6585,17.691,30.23,25,76,2.94,AO,1726240726
119,gao,16.6362,1.637,30.75,43,100,2.95,ML,1726240727
120,chonchi,-42.6128,-73.8092,9.54,75,37,1.51,CL,1726240728
121,invercargill,-46.4,168.35,3.9,87,100,1.78,NZ,1726240729
122,anadyr,64.75,177.4833,8.28,93,75,6.0,RU,1726240730
123,keflavik,64.0049,-22.5624,11.24,46,20,5.66,IS,1726240731
124,ilulissat,69.2167,-51.1,3.01,65,0,2.06,GL,1726240733
125,leitchfield,37.48,-86.2939,22.32,88,100,1.34,US,1726240734
126,canutama,-6.5339,-64.3831,41.05,16,6,1.55,BR,1726240735
127,ilam,26.9167,87.9167,22.97,87,6,2.35,NP,1726240736
128,acara,-1.9608,-48.1967,36.38,32,22,2.6,BR,1726240737
129,marsh harbour,26.5412,-77.0636,29.13,71,100,1.88,BS,1726240738
130,pader,3.05,33.2167,23.73,70,90,2.33,UG,1726240739
131,bonthe,7.5264,-12.505,26.55,82,100,5.94,SL,1726240740
132,avarua,-21.2078,-159.775,23.03,83,75,2.57,CK,1726240741
133,kapuskasing,49.4169,-82.4331,18.05,72,75,1.54,CA,1726240742
134,brookings,44.3114,-96.7984,22.47,70,0,5.14,US,1726240743
135,papatowai,-46.5619,169.4708,4.49,90,100,1.97,NZ,1726240744
136,east ballina,-28.8667,153.5833,16.86,67,100,6.52,AU,1726240745
137,porangatu,-13.4408,-49.1486,36.21,18,2,3.39,BR,1726240746
138,kayangel,8.0823,134.7173,28.93,78,100,11.36,PW,1726240747
139,isafjordur,66.0755,-23.124,8.02,61,0,2.57,IS,1726240748
140,loen,7.7601,168.2307,28.03,79,100,2.36,MH,1726240749
